Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Leader_speed,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
0,0.9231081,-0.91527975,0.7101113961297497,-0.7040893445342413,0.9192355747797015,-1.7399385,2.2478108,0.90179014,4.0909905,2.215846
0,1.8462162,-1.8305595,0.7101113961297497,-0.7040893445342413,0.9192355747797015,-0.6479032,1.4551823,1.8248982,3.175711,1.3493706
1,2.7693243,-2.745839,0.7101113961297497,-0.7040893445342413,0.9192355747797015,0.5118909,0.76981145,2.7480063,2.2604313,1.3471657
2,3.6924324,-3.6611187,0.7101113961297497,-0.7040893445342413,0.9192355747797015,1.7559726,0.07041305,3.6711144,1.3451517,1.4271991
3,4.6155405,-4.5763984,0.7101113961297499,-0.7040893445342412,0.9192355747797016,3.1099823,-0.67079353,4.5942225,0.42987204,1.5436091
4,5.5386486,-5.491678,0.7101113961297499,-0.7040893445342412,0.9192355747797016,4.5654697,-1.5080239,5.5173306,-0.48540783,1.6791065
5,6.4617567,-6.406958,0.7101113961297499,-0.7040893445342412,0.9192355747797016,5.932557,-2.405714,6.4404387,-1.4006877,1.6354741
6,7.384865,-7.322238,0.7101113961297499,-0.7040893445342412,0.9192355747797016,7.1173234,-3.3816397,7.363547,-2.3159676,1.5349599
7,8.307973,-8.237517,0.7101113961297503,-0.7040893445342409,0.9192355747797016,8.119225,-4.434087,8.286655,-3.231247,1.4530832
8,9.231081,-9.152797,0.7101113961297503,-0.7040893445342409,0.9192355747797016,8.995724,-5.519036,9.209763,-4.1465263,1.3947635
9,10.154189,-10.068076,0.7101113961297503,-0.7040893445342409,0.9192355747797016,9.801741,-6.5911636,10.132872,-5.0618057,1.3413134
10,11.077297,-10.9833555,0.7101113961297503,-0.7040893445342409,0.9192355747797016,10.573454,-7.617178,11.055979,-5.977085,1.2838407
11,12.000405,-11.898635,0.7101113961297503,-0.7040893445342409,0.9192355747797016,11.337788,-8.580464,11.979088,-6.8923645,1.2296855
12,12.923513,-12.813914,0.7101113961297503,-0.7040893445342409,0.9192355747797016,12.11802,-9.485172,12.902195,-7.807644,1.1946795
13,13.8466215,-13.729194,0.7101113961297503,-0.7040893445342409,0.9192355747797016,12.931039,-10.349523,13.825304,-8.722923,1.1866343
14,14.76973,-14.644473,0.7101113961297503,-0.7040893445342409,0.9192355747797016,13.783934,-11.193605,14.748411,-9.638203,1.1999606
15,15.692838,-15.559752,0.7101113961297503,-0.7040893445342409,0.9192355747797016,14.675164,-12.032407,15.67152,-10.553482,1.223879
16,16.615946,-16.475033,0.7101113961297495,-0.7040893445342414,0.9192355747797014,15.598382,-12.874796,16.594627,-11.468762,1.2497802
17,17.539053,-17.390312,0.7101113961297495,-0.7040893445342414,0.9192355747797014,16.545776,-13.725013,17.517735,-12.384042,1.272959
18,18.46216,-18.305592,0.7101113961297495,-0.7040893445342414,0.9192355747797014,17.509924,-14.5844555,18.440842,-13.299321,1.2915968
19,19.385267,-19.220871,0.7101113961297495,-0.7040893445342414,0.9192355747797014,18.484491,-15.453011,19.363949,-14.214601,1.3054384
20,20.308374,-20.13615,0.7101113961297495,-0.7040893445342414,0.9192355747797014,19.464365,-16.329868,20.287056,-15.12988,1.3149266
21,21.231482,-21.05143,0.7101113961297495,-0.7040893445342414,0.9192355747797014,20.44555,-17.21397,21.210163,-16.045158,1.320743
22,22.154589,-21.96671,0.7101113961297495,-0.7040893445342414,0.9192355747797014,21.425032,-18.104229,22.13327,-16.960438,1.32361
23,23.077696,-22.881989,0.7101113961297495,-0.7040893445342414,0.9192355747797014,22.400623,-18.999622,23.056377,-17.875717,1.324201
24,24.000803,-23.797268,0.7101113961297495,-0.7040893445342414,0.9192355747797014,23.370844,-19.899231,23.979485,-18.790997,1.3231113
25,24.92391,-24.712547,0.7101113961297495,-0.7040893445342414,0.9192355747797014,24.334797,-20.802235,24.902592,-19.706276,1.3208411
26,25.847017,-25.627827,0.7101113961297495,-0.7040893445342414,0.9192355747797014,25.292063,-21.707897,25.825699,-20.621555,1.3177946
27,26.770124,-26.543106,0.7101113961297495,-0.7040893445342414,0.9192355747797014,26.24259,-22.615559,26.748806,-21.536835,1.3142873
28,27.693232,-27.458385,0.7101113961297495,-0.7040893445342414,0.9192355747797014,27.1866,-23.52461,27.671913,-22.452114,1.3105456
29,28.616339,-28.373665,0.7101113961297495,-0.7040893445342414,0.9192355747797014,28.124508,-24.434492,28.59502,-23.367393,1.3067349
30,29.539446,-29.288944,0.7101113961297495,-0.7040893445342414,0.9192355747797014,29.05686,-25.344679,29.518127,-24.282673,1.302966
31,30.462553,-30.204224,0.7101113961297495,-0.7040893445342414,0.9192355747797014,29.984274,-26.254683,30.441235,-25.197952,1.2993088
32,31.38566,-31.119503,0.7101113961297495,-0.7040893445342414,0.9192355747797014,30.90741,-27.164043,31.364342,-26.113232,1.2958074
33,32.30877,-32.034782,0.7101113961297495,-0.7040893445342414,0.9192355747797014,31.82694,-28.072334,32.287453,-27.028511,1.2924896
34,33.231876,-32.95006,0.7101113961297495,-0.7040893445342414,0.9192355747797014,32.743538,-28.979162,33.21056,-27.94379,1.289375
35,34.154984,-33.86534,0.7101113961297495,-0.7040893445342414,0.9192355747797014,33.657852,-29.884167,34.133667,-28.85907,1.2864695
36,35.07809,-34.78062,0.7101113961297495,-0.7040893445342414,0.9192355747797014,34.57052,-30.787018,35.056774,-29.77435,1.2837834
37,36.001198,-35.6959,0.7101113961297495,-0.7040893445342414,0.9192355747797014,35.48214,-31.68741,35.97988,-30.689629,1.2813118
38,36.924305,-36.61118,0.7101113961297495,-0.7040893445342414,0.9192355747797014,36.39329,-32.585064,36.90299,-31.604908,1.2790542
39,37.847412,-37.52646,0.7101113961297495,-0.7040893445342414,0.9192355747797014,37.304512,-33.47971,37.826096,-32.520187,1.2769941
40,38.77052,-38.44174,0.7101113961297495,-0.7040893445342414,0.9192355747797014,38.216305,-34.371082,38.749203,-33.435467,1.2751123
41,39.693626,-39.357018,0.7101113961297495,-0.7040893445342414,0.9192355747797014,39.129135,-35.258896,39.67231,-34.350746,1.2733704
42,40.616734,-40.272297,0.7101113961297495,-0.7040893445342414,0.9192355747797014,40.043423,-36.14283,40.595417,-35.266026,1.2717159
43,41.53984,-41.187576,0.7101113961297495,-0.7040893445342414,0.9192355747797014,40.959557,-37.022507,41.518524,-36.181305,1.2700915
44,42.462948,-42.102856,0.7101113961297495,-0.7040893445342414,0.9192355747797014,41.877884,-37.897465,42.44163,-37.096584,1.2684151
45,43.386055,-43.018135,0.7101113961297495,-0.7040893445342414,0.9192355747797014,42.798706,-38.76712,43.36474,-38.011864,1.2665758
46,44.309162,-43.933414,0.7101113961297495,-0.7040893445342414,0.9192355747797014,43.72227,-39.63073,44.287846,-38.927143,1.264434
47,45.23227,-44.848694,0.7101113961297495,-0.7040893445342414,0.9192355747797014,44.648773,-40.487347,45.210953,-39.842422,1.2618238
48,46.155376,-45.763973,0.7101113961297495,-0.7040893445342414,0.9192355747797014,45.578323,-41.335766,46.13406,-40.7577,1.2585224
