Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Leader_speed,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
0,-0.84111595,0.6983197,-0.7693942649303344,0.6387741894381068,0.7859898515822623,-1.7399385,2.2478108,-0.37872052,-4.2865973,2.215846
0,-1.6822319,1.3966393,-0.7693942649303344,0.6387741894381068,0.7859898515822623,-1.5078158,1.8401237,-1.2198365,-3.5882773,0.46913728
1,-2.5233479,2.094959,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-1.4253194,1.5661983,-2.0609524,-2.8899577,0.28607818
2,-3.3644638,2.7932787,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-1.5353626,1.3496432,-2.9020684,-2.191638,0.24291073
3,-4.2055798,3.4915984,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-1.9155661,1.2204056,-3.7431843,-1.4933183,0.40156823
4,-5.0466957,4.189918,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-2.7812767,1.244216,-4.5843,-0.79499865,0.866038
5,-5.8878117,4.888238,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-4.0678077,1.4978065,-5.425416,-0.096678734,1.3112857
6,-6.7289276,5.586558,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-5.496627,1.9807864,-6.266532,0.6016412,1.5082419
7,-7.5700436,6.284878,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-6.8840632,2.6184587,-7.107648,1.2999611,1.5269597
8,-8.4111595,6.9831977,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-8.147288,3.330432,-7.948764,1.998281,1.4500495
9,-9.252275,7.6815176,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-9.28287,4.057161,-8.78988,2.696601,1.3482141
10,-10.093391,8.379837,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-10.309679,4.7732787,-9.630996,3.3949203,1.251863
11,-10.934507,9.078156,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-11.257463,5.473889,-10.472112,4.09324,1.178622
12,-11.775623,9.776476,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-12.158193,6.162958,-11.313228,4.791559,1.1340765
13,-12.616739,10.474795,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-13.034861,6.845592,-12.154344,5.4898787,1.1110966
14,-13.457855,11.173115,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-13.900189,7.5252576,-12.99546,6.188198,1.100336
15,-14.298971,11.871434,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-14.760207,8.203811,-13.8365755,6.8865175,1.0954747
16,-15.140087,12.569754,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-15.617501,8.882114,-14.677691,7.584837,1.093183
17,-15.981203,13.268073,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-16.473091,9.560527,-15.518807,8.283156,1.0919145
18,-16.822319,13.9663925,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-17.327337,10.239187,-16.359924,8.981476,1.0910163
19,-17.663435,14.664712,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-18.18034,10.918168,-17.20104,9.679795,1.0902423
20,-18.50455,15.363031,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-19.032091,11.597539,-18.042156,10.378115,1.0895067
21,-19.345667,16.061352,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-19.882547,12.277386,-18.883272,11.076435,1.0887917
22,-20.186783,16.759672,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-20.731644,12.957817,-19.724388,11.7747555,1.0880953
23,-21.027899,17.457993,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-21.579313,13.638955,-20.565504,12.473076,1.0874249
24,-21.869015,18.156313,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-22.42549,14.320931,-21.40662,13.171396,1.086787
25,-22.71013,18.854633,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-23.270111,15.0038805,-22.247736,13.869717,1.0861883
26,-23.551247,19.552954,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-24.113127,15.687935,-23.088852,14.568037,1.0856361
27,-24.392363,20.251274,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-24.954481,16.373222,-23.929968,15.266357,1.085125
28,-25.233479,20.949594,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-25.79412,17.05987,-24.771084,15.964678,1.0846564
29,-26.074594,21.647915,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-26.63199,17.747997,-25.6122,16.662998,1.0842255
30,-26.91571,22.346235,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-27.46802,18.43772,-26.453316,17.361319,1.0838178
31,-27.756826,23.044556,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-28.302128,19.129154,-27.294432,18.059639,1.0834292
32,-28.597942,23.742876,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-29.134214,19.82241,-28.135548,18.75796,1.0830386
33,-29.439058,24.441196,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-29.964163,20.517595,-28.976664,19.45628,1.082634
34,-30.280174,25.139517,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-30.791842,21.214794,-29.81778,20.1546,1.0821915
35,-31.12129,25.837837,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-31.617117,21.914066,-30.658895,20.85292,1.0816936
36,-31.962406,26.536158,-0.7693942649303345,0.6387741894381069,0.7859898515822624,-32.439873,22.615417,-31.500011,21.55124,1.0811201
37,-32.803524,27.234478,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-33.26003,23.318768,-32.34113,22.249561,1.0804431
38,-33.64464,27.932798,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-34.077583,24.023932,-33.182247,22.947882,1.0796535
39,-34.48576,28.631119,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-34.89266,24.730581,-34.023365,23.646202,1.0787498
40,-35.326878,29.32944,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-35.705532,25.43824,-34.864483,24.344522,1.0777498
41,-36.167995,30.02776,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-36.51667,26.146313,-35.7056,25.042843,1.0767136
42,-37.009113,30.72608,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-37.326714,26.854145,-36.54672,25.741163,1.0757308
43,-37.85023,31.4244,-0.7693942649303357,0.6387741894381053,0.7859898515822628,-38.13644,27.561115,-37.387836,26.439484,1.0749252
44,-38.69135,32.12272,-0.7693942649303341,0.6387741894381072,0.7859898515822624,-38.946667,28.266726,-38.228954,27.137802,1.074408
45,-39.532467,32.821037,-0.7693942649303341,0.6387741894381072,0.7859898515822624,-39.758163,28.970673,-39.070072,27.83612,1.0742757
46,-40.373585,33.519356,-0.7693942649303341,0.6387741894381072,0.7859898515822624,-40.571556,29.67286,-39.91119,28.53444,1.0745574
47,-41.214703,34.217674,-0.7693942649303341,0.6387741894381072,0.7859898515822624,-41.38726,30.37336,-40.752308,29.232758,1.075209
48,-42.05582,34.915993,-0.7693942649303341,0.6387741894381072,0.7859898515822624,-42.205494,31.072361,-41.593426,29.931076,1.0761547
49,-42.89694,35.61431,-0.7693942649303341,0.6387741894381072,0.7859898515822624,-43.026295,31.770103,-42.434544,30.629395,1.0772922
