Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
72,0.0,0.0,-1,0,3.7439713,-3.489597,3.5400002,-3.5399997,0.46988198
73,0.0,0.0,-1,0,3.4702952,-3.989597,3.5400002,-3.5399997,0.5699988
74,0.0,0.0,-1,0,3.8058732,-3.489597,3.5400002,-3.5399997,0.6021732
75,0.0,0.0,-1,0,3.4269075,-3.989597,3.5400002,-3.5399997,0.6273874
76,0.0,0.0,-1,0,3.8322563,-3.489597,3.5400002,-3.5399997,0.64366734
77,0.0,0.0,-1,0,3.4092722,-3.989597,3.5400002,-3.5399997,0.65491647
78,0.0,0.0,-1,0,3.8426714,-3.489597,3.5400002,-3.5399997,0.6616909
79,0.0,0.0,-1,0,3.402461,-3.989597,3.5400002,-3.5399997,0.666172
80,0.0,0.0,-1,0,3.8466454,-3.489597,3.5400002,-3.5399997,0.66880465
81,0.0,0.0,-1,0,3.3998852,-3.989597,3.5400002,-3.5399997,0.6705182
82,0.0,0.0,-1,0,3.8481407,-3.489597,3.5400002,-3.5399997,0.67151546
83,0.0,0.0,-1,0,3.398919,-3.989597,3.5400002,-3.5399997,0.67216074
84,0.0,0.0,-1,0,3.848701,-3.489597,3.5400002,-3.5399997,0.6725353
85,0.0,0.0,-1,0,3.3985577,-3.989597,3.5400002,-3.5399997,0.6727771
86,0.0,0.0,-1,0,3.8489106,-3.489597,3.5400002,-3.5399997,0.6729173
87,0.0,0.0,-1,0,3.3984227,-3.989597,3.5400002,-3.5399997,0.67300767
88,0.0,0.0,-1,0,3.8489883,-3.489597,3.5400002,-3.5399997,0.6730597
89,0.0,0.0,-1,0,3.3983724,-3.989597,3.5400002,-3.5399997,0.6730934
90,0.0,0.0,-1,0,3.8490179,-3.489597,3.5400002,-3.5399997,0.67311317
91,0.0,0.0,-1,0,3.3983538,-3.989597,3.5400002,-3.5399997,0.67312557
92,0.0,0.0,-1,0,3.8490283,-3.489597,3.5400002,-3.5399997,0.67313266
93,0.0,0.0,-1,0,3.3983467,-3.989597,3.5400002,-3.5399997,0.6731374
94,0.0,0.0,-1,0,3.8490326,-3.489597,3.5400002,-3.5399997,0.6731403
95,0.0,0.0,-1,0,3.3983438,-3.989597,3.5400002,-3.5399997,0.6731422
96,0.0,0.0,-1,0,3.8490343,-3.489597,3.5400002,-3.5399997,0.6731433
97,0.0,0.0,-1,0,3.3983428,-3.989597,3.5400002,-3.5399997,0.673144
98,0.0,0.0,-1,0,3.8490348,-3.489597,3.5400002,-3.5399997,0.6731443
99,0.0,0.0,-1,0,3.3983426,-3.989597,3.5400002,-3.5399997,0.67314446
0,0.0,0.0,-1,0,3.8490348,-3.489597,3.5400002,-3.5399997,0.67314446
0,0.0,0.0,-1,0,3.3983426,-3.989597,3.5400002,-3.5399997,0.67314446
